,id,place,time,lat,lon,mag,Oceanic
0,1,"94km E of Chignik Lake, Alaska",1583721588674,56.3985,-157.258,2.6,False
1,2,"113km W of Talkeetna, Alaska",1583721174778,62.2701,-152.2851,2.3,False
2,3,"10km SW of Searles Valley, CA",1583720131320,35.7166667,-117.4893333,1.25,False
3,4,"8km SSW of Tallaboa, Puerto Rico",1583720080620,17.9238,-66.7561,2.1,False
4,5,"43km W of Anchor Point, Alaska",1583719734080,59.7152,-152.5889,1.0,False
5,6,"68km W of Talkeetna, Alaska",1583719539256,62.4082,-151.4233,1.7,False
6,7,"17km SSW of Searles Valley, CA",1583719506870,35.6268333,-117.4646667,2.26,False
7,8,"21km ESE of Anza, CA",1583719040970,33.515,-116.4566667,0.62,False
8,9,"13km NNE of Borrego Springs, CA",1583718621510,33.3606667,-116.3083333,0.89,False
9,10,"55km WSW of Talkeetna, Alaska",1583718400977,62.2004,-151.1813,2.6,False
10,11,"3km WNW of Anderson Springs, CA",1583717380720,38.7801666,-122.7218323,0.71,False
11,12,"2km WSW of Anderson Springs, CA",1583717220740,38.7646675,-122.7145004,0.72,False
12,13,"2km NW of The Geysers, CA",1583717057070,38.7871666,-122.7676697,1.45,False
13,14,"12km SSW of Guanica, Puerto Rico",1583716019800,17.9198,-66.9458,2.78,False
14,15,"41km S of Redoubt Volcano, Alaska",1583714825240,60.1123,-152.6628,1.4,False
15,16,"6km S of Volcano, Hawaii",1583714716480,19.3713341,-155.2460022,1.81,False
16,17,"26km SSW of Whittier, Alaska",1583713873128,60.5485,-148.8503,2.2,False
17,18,"5km W of Cobb, CA",1583713598390,38.8236656,-122.7796631,1.32,False
18,19,"12km ESE of Hidden Valley Lake, CA",1583713541900,38.7646675,-122.4308319,1.98,False
19,20,"11km ENE of Mammoth Lakes, CA",1583712994480,37.661335,-118.8531647,1.0,False
20,21,"16km E of Little Lake, CA",1583712922090,35.9116667,-117.732,0.79,False
21,22,"9km NW of Friday Harbor, Washington",1583712652430,48.6013333333333,-123.092833333333,2.03,False
22,23,"5km WNW of The Geysers, CA",1583711094140,38.7928352,-122.8099976,1.15,False
23,24,"4km SSW of Pahala, Hawaii",1583710841930,19.1633339,-155.4938354,1.97,False
24,25,"11km ENE of Sulat, Philippines",1583710748332,11.8517,125.5543,4.9,False
25,26,"80km NW of San Antonio, Puerto Rico",1583710519740,19.104,-67.6941,3.53,False
26,27,"17km ESE of Little Lake, CA",1583710156880,35.9038333,-117.7185,1.14,False
27,28,"7km SSW of Indios, Puerto Rico",1583709811930,17.9261,-66.843,2.51,False
28,29,"6km SSE of Guanica, Puerto Rico",1583709474060,17.914,-66.8838,3.09,False
29,30,"7km W of Poulsbo, Washington",1583709269980,47.7443333333333,-122.7475,1.26,False
30,31,"85km NE of Punta Cana, Dominican Republic",1583709143030,19.1775,-67.765,3.57,False
31,32,"23km NNE of Fairbanks, Alaska",1583708701767,65.0248,-147.4935,1.2,False
32,33,"27km ESE of Eatonville, Washington",1583708652130,46.7918333333333,-121.928833333333,0.63,False
33,34,"6km S of Tallaboa, Puerto Rico",1583708468000,17.9403,-66.706,2.98,False
34,35,"56km WSW of Port-Vila, Vanuatu",1583708178000,-17.8754,167.811,4.6,False
35,36,"101km NE of Punta Cana, Dominican Republic",1583708144730,19.23,-67.7286,3.22,False
36,37,Central Mid-Atlantic Ridge,1583707740484,7.3067,-35.667,5.0,False
37,38,"56km E of Cape Yakataga, Alaska",1583707459706,60.0264,-141.4262,1.7,False
38,39,"78km N of Yakutat, Alaska",1583707419397,60.2469,-139.5618,1.6,False
39,40,"59km E of Cape Yakataga, Alaska",1583707142474,60.1665,-141.3715,1.5,False
40,41,"30km SSE of Circle, Alaska",1583706504182,65.5847,-143.7718,1.8,False
41,42,"34km SW of Tanaga Volcano, Alaska",1583706311005,51.6381,-178.4428,1.9,False
42,43,"3km SSW of Willowbrook, CA",1583706164580,33.8925,-118.2648333,1.65,False
43,44,"63km SE of Cape Yakataga, Alaska",1583706131199,59.7394,-141.4946,1.8,False
44,45,"10km NW of The Geysers, CA",1583706016310,38.8416672,-122.8398361,0.6,False
45,46,"23km N of Ridgecrest, CA",1583705828330,35.8303333,-117.6545,1.29,False
